Time,Day,Temp,Humidity,Light_Intensity,Occupancy,Energy
20:00,Saturday,12.4,40.4,0,1,4.640313273
23:00,Thursday,12.40127511,40.40314193,0.10484207,1,4.70050552
1:40,Monday,12.40255021,40.40628386,0.20968414,1,4.824251183
2:00,Saturday,12.40382532,40.40942579,0.314526211,1,4.886107765
20:00,Wednesday,12.40510043,40.41256771,0.419368281,1,4.95829624
2:00,Monday,12.40637553,40.41570964,0.524210351,1,5.035204883
23:20,Thursday,12.40765064,40.41885157,0.629052421,1,5.121926226
17:00,Friday,12.40892574,40.4219935,0.733894491,1,4.895802256
9:20,Friday,12.41020085,40.42513543,0.838736561,1,4.681394568
13:00,Thursday,12.41147596,40.42827736,0.943578632,1,4.47177258
21:40,Wednesday,12.41275106,40.43141928,1.048420702,1,4.179793782
19:00,Sunday,12.41402617,40.43456121,1.153262772,1,3.949500136
5:40,Wednesday,12.41530128,40.43770314,1.258104842,1,3.776402561
6:40,Tuesday,12.41657638,40.44084507,1.362946912,1,3.83820289
19:00,Monday,12.41785149,40.443987,1.467788982,1,3.88086791
3:40,Monday,12.41912659,40.44712893,1.572631053,1,3.919139961
20:20,Saturday,12.4204017,40.45027086,1.677473123,1,4.002554362
10:00,Friday,12.42167681,40.45341278,1.782315193,1,4.089904695
0:40,Friday,12.42295191,40.45655471,1.887157263,1,4.112570789
19:00,Tuesday,12.42422702,40.45969664,1.991999333,1,4.229585977
22:20,Saturday,12.42550213,40.46283857,2.096841403,1,4.364162864
10:40,Thursday,12.42677723,40.4659805,2.201683474,1,4.474587634
18:20,Sunday,12.42805234,40.46912243,2.306525544,1,4.6073822
6:40,Thursday,12.42932744,40.47226436,2.411367614,1,4.722735228
22:40,Saturday,12.43060255,40.47540628,2.516209684,1,4.85505719
16:20,Thursday,12.43187766,40.47854821,2.621051754,1,4.929707266
21:20,Sunday,12.43315276,40.48169014,2.725893824,1,5.040772037
13:40,Friday,12.43442787,40.48483207,2.830735895,1,5.107558445
17:40,Monday,12.43570298,40.487974,2.935577965,1,5.204128235
14:00,Friday,12.43697808,40.49111593,3.040420035,1,5.30107547
15:40,Tuesday,12.43825319,40.49425785,3.145262105,1,5.387100434
23:00,Monday,12.43952829,40.49739978,3.250104175,1,5.200009261
11:40,Monday,12.4408034,40.50054171,3.354946246,1,5.024378435
11:40,Saturday,12.44207851,40.50368364,3.459788316,1,4.872530471
12:00,Friday,12.44335361,40.50682557,3.564630386,1,4.67845733
17:20,Tuesday,12.44462872,40.5099675,3.669472456,1,4.540256519
7:20,Sunday,12.44590383,40.51310943,3.774314526,1,4.342446133
8:40,Tuesday,12.44717893,40.51625135,3.879156596,1,4.551325803
5:00,Wednesday,12.44845404,40.51939328,3.983998667,1,4.756536913
3:40,Wednesday,12.44972914,40.52253521,4.088840737,1,4.978513734
11:20,Monday,12.45100425,40.52567714,4.193682807,1,5.210465067
13:40,Wednesday,12.45227936,40.52881907,4.298524877,1,5.359640416
6:00,Thursday,12.45355446,40.531961,4.403366947,1,5.537737133
15:20,Friday,12.45482957,40.53510293,4.508209017,1,5.503914725
21:20,Friday,12.45610468,40.53824485,4.613051088,1,5.496796452
11:00,Tuesday,12.45737978,40.54138678,4.717893158,1,5.392798359
1:00,Friday,12.45865489,40.54452871,4.822735228,1,5.314487471
5:00,Sunday,12.45992999,40.54767064,4.927577298,1,5.250098913
17:20,Tuesday,12.4612051,40.55081257,5.032419368,1,5.180410133
20:40,Tuesday,12.46248021,40.5539545,5.137261438,1,5.176751815
15:40,Monday,12.46375531,40.55709642,5.242103509,1,5.206454944
7:00,Tuesday,12.46503042,40.56023835,5.346945579,1,5.19001405
12:20,Friday,12.46630553,40.56338028,5.451787649,1,5.109013282
4:40,Thursday,12.46758063,40.56652221,5.556629719,1,5.143020922
5:20,Wednesday,12.46885574,40.56966414,5.661471789,1,5.165286474
11:40,Tuesday,12.47013084,40.57280607,5.766313859,1,5.185858917
21:00,Sunday,12.47140595,40.575948,5.87115593,1,5.230982964
0:40,Monday,12.47268106,40.57908992,5.975998,1,5.224605486
19:20,Saturday,12.47395616,40.58223185,6.08084007,1,5.263190289
21:00,Friday,12.47523127,40.58537378,6.18568214,1,5.290727645
18:00,Thursday,12.47650638,40.58851571,6.29052421,1,5.320550519
10:20,Saturday,12.47778148,40.59165764,6.395366281,1,5.276340223
12:00,Sunday,12.47905659,40.59479957,6.500208351,1,5.239899222
9:40,Wednesday,12.48033169,40.5979415,6.605050421,1,5.160399547
